X,Y,施設名,施設名かな,施設名（施,所在地,地区名,詳細情報,大分類,小分類,カテゴリ,アイコン番,施設ID
135.4368349,34.65145447,大阪市築港赤レンガ倉庫,おおさかしちっこうあかれんがそうこ,大阪市築港赤レンガ倉庫（おおさかしちっこうあかれんがそうこ）,港区海岸通2丁目6番1号,港区,大正12年（1923年）、住友倉庫により港湾倉庫として建設。港区では空襲にも焼け残った数少ない建造物。現在は大阪市が管理している。耐震上の問題から閉鎖しているが、広く市民に親しんでいただけるよう隣接する広場を開放するなど、今後とも倉庫の活用に向けた検討を行うこ,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19285
135.4684238,34.64777281,大正内港のはしけ桟橋,たいしょうないこうのはしけさんばし,大正内港のはしけ桟橋（たいしょうないこうのはしけさんばし）,大正区千島3丁目24番,大正区,大正中期から昭和初期、千島新田と泉尾新田一帯に、運河・貯木場・水路の開削と道路・橋梁・宅地盛土などの開発工事が実施され、材木業者が誘致された。昭和7、8年（1932､1933年）頃には業者数約600戸の木材街が出現し､その木材市場は業界の一大中心地となった。昭和50年（1,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19453
135.4740562,34.64916839,千島公園（昭和山）,ちしまこうえん（しょうわやま）,千島公園（昭和山）（ちしまこうえん（しょうわやま））,大正区千島2丁目7番,大正区,千島公園は、昭和51年(1976年）4月に開園された約11.2haの区を代表する総合公園である。千島公園内にある昭和山は、江戸時代に造られた天保山を模して昭和に造られた人工の山である。クスノキやケヤキなどが茂り、ツツジ、ヤマブキ、クチナシ、アセビが花を咲かせる大正区の,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19452
135.4790674,34.64324844,大正区の渡船場の景観,たいしょうくのとせんじょうのけいかん,大正区の渡船場の景観（たいしょうくのとせんじょうのけいかん）,大正区平尾1丁目1番、西成区津守2丁目8番,大正区,大正区は四方を川と海に囲まれた地域であり、橋梁が整備された現在も、渡船は、区民の生活に欠かせない貴重な足としての役割を担っている。市内に8ヶ所ある渡船場のうち7ヶ所は大正区にあり、その景観には、水の都に思いを馳せさせるとともに、深く歴史を感じさせる力がある,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19510
135.4788114,34.64974925,大正区の渡船場の景観,たいしょうくのとせんじょうのけいかん,大正区の渡船場の景観（たいしょうくのとせんじょうのけいかん）,大正区千島1丁目29番、西成区北津守4丁目15番,大正区,大正区は四方を川と海に囲まれた地域であり、橋梁が整備された現在も、渡船は、区民の生活に欠かせない貴重な足としての役割を担っている。市内に8ヶ所ある渡船場のうち7ヶ所は大正区にあり、その景観には、水の都に思いを馳せさせるとともに、深く歴史を感じさせる力がある,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19509
135.4720673,34.65099186,大阪市立大正図書館,おおさかしりつたいしょうとしょかん,大阪市立大正図書館（おおさかしりつたいしょうとしょかん）,大正区千島2-6-15,大正区,詳細情報なし,文化・観光,図書館,文化・観光/図書館,151,3854
135.4625003,34.65651853,大正区の渡船場の景観,たいしょうくのとせんじょうのけいかん,大正区の渡船場の景観（たいしょうくのとせんじょうのけいかん）,大正区泉尾7丁目13番、港区福崎1丁目3番,大正区,大正区は四方を川と海に囲まれた地域であり、橋梁が整備された現在も、渡船は、区民の生活に欠かせない貴重な足としての役割を担っている。市内に8ヶ所ある渡船場のうち7ヶ所は大正区にあり、その景観には、水の都に思いを馳せさせるとともに、深く歴史を感じさせる力がある,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19450
135.479341,34.65114408,木津川水門,きづがわすいもん,木津川水門（きづがわすいもん）,大正区三軒家東3丁目6番,大正区,木津川水門は、造船所などがならぶ木津川にあるアーチ型水門である。台風などで押し寄せてくる大阪湾からの高潮をせき止めることを目的に、昭和45年（1970年）11月に整備された。アーチ型ゲートの主水門とスイング式ゲートの副水門からなっており、主水門の径間は57ｍ、副水,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19451
135.4864503,34.65452189,大阪人権博物館（リバティおおさか）,おおさかじんけんはくぶつかん（りばてぃおおさか）,大阪人権博物館（リバティおおさか）（おおさかじんけんはくぶつかん（りばてぃおおさか））,浪速区浪速西3-6-36,浪速区,詳細情報なし,文化・観光,美術館・博物館,文化・観光/美術館・博物館,150,2678
135.4952257,34.60048889,極楽寺,ごくらくじ,極楽寺（ごくらくじ）,住吉区遠里小野5丁目11番2号,住吉区,榎津寺（えなつでら）の極楽院が、この寺の前身とされているが創建は不明で、本尊の毘沙門天は信貴山の毘沙門天と同じ材といわれる。楠木正成の両親が本尊に子宝を祈願し正成が誕生し、そのお礼に正成が寄進したとされる、石灯籠（重要文化財）が境内に、また正成お手植えと,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19478
135.4894167,34.60594867,地蔵尊のある風景（安立連合町会のなかの紀州街道沿いのお地蔵様）,じぞうそんのあるふうけい（あんりゅうれんごうちょうかいのなかのきしゅうかいどうぞいのおじぞうさま）,地蔵尊のある風景（安立連合町会のなかの紀州街道沿いのお地蔵様）（じぞうそんのあるふうけい（あんりゅうれんごうちょうかいのなかのきしゅうかいどうぞいのおじぞうさま））,住之江区住之江1丁目近辺（紀州街道沿い）,住之江区,古い町並みが残る地蔵尊の風景は住之江区の大切な景観となっている。当地の「安立」という地名は、元和年間（1615年〜1623年）に、名医として名を馳せた半井安立がここに居を構えたことにちなむ。多くの人がその治療を求めて集まり、いつしか町が形成されたといわれている。,文化・観光,都市景観資源,文化・観光/都市景観資源,167,37743
135.5004357,34.60483886,大阪市立住吉図書館,おおさかしりつすみよしとしょかん,大阪市立住吉図書館（おおさかしりつすみよしとしょかん）,住吉区南住吉3丁目15番57号,住吉区,詳細情報なし,文化・観光,図書館,文化・観光/図書館,151,1510
135.4975069,34.60487397,止止呂支比売命神社,とどろきひめのみことじんじゃ,止止呂支比売命神社（とどろきひめのみことじんじゃ）,住吉区沢之町１丁目10番４号,住吉区,祭神は素戔鳴命（すさのおのみこと）・稲田姫命（いなだひめのみこと）。創建年代は不明だが神功皇后の創建とも伝えられている。若松神社は地元の愛称で、承久3年（1221年）後鳥羽上皇が行幸、造られた行宮を若松御所と名付けたことに由来。かつては住吉大社の摂社であった・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19481
135.510159,34.59964703,吾彦山大聖観音寺（通称あびこ観音）,あびこやまたいしょうかんのんじ（つうしょうあびこかんのん）,吾彦山大聖観音寺（通称あびこ観音）（あびこやまたいしょうかんのんじ（つうしょうあびこかんのん））,住吉区我孫子4丁目1番20号,住吉区,正式には「吾彦山」、寺号を「大聖観音寺」と称し、日本最古の観音信仰道場・厄除けの寺として有名。昔、この地に住んでいた依羅吾彦（よさみのあびこ）という勢力のある一族が、百済の聖明王から身の丈約5cmの小さな観音像を贈られた。人々は御堂を建てて信心したが、今か・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19475
135.4944515,34.61074158,浅沢神社,あさざわじんじゃ,浅沢神社（あさざわじんじゃ）,住吉区上住吉2丁目11番21号,住吉区,住吉といえば「初辰まいり」が有名だが、初辰とは、毎月最初の辰の日のこと。この日に参拝すれば、より一層力を与えて守り助けてくれると信仰されている。商売発達のために遠方から訪れる人も多い。種貸社、楠?社、浅沢神社、大歳社の四社をそれぞれにお参りするのが慣わし・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19477
135.494401,34.61024733,蔵のある住宅,くらのあるじゅうたく,蔵のある住宅（くらのあるじゅうたく）,住吉区墨江1丁目5番14号,住吉区,大歳神社から国道479号線に向かうとすぐ左手に見られ、白壁と板壁の珍しい造りをしている。白壁と板壁の蔵、カイヅカイブキの古木、和風とモダンの住宅が美しく調和している。,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19484
135.4944064,34.61046878,大歳社,おおとししゃ,大歳社（おおとししゃ）,住吉区墨江1丁目5番,住吉区,住吉大社の境外末社で、祭神は大歳神 (おおとしのかみ) 。収穫の神であるところから、集金・商売繁盛・家内安全・願望成就に神徳があり、毎月最初の辰の日に参る「初辰まいり」では、種貸社、楠?社、浅沢神社と参り、ここで集金・収穫に感謝してしめくくる。拝殿右横の石柱・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19485
135.4941982,34.60984733,住吉子安地藏寺（すみよしのこやっさん）,すみよしこやすじぞうでら,住吉子安地藏寺（すみよしのこやっさん）（すみよしこやすじぞうでら）,住吉区墨江1丁目6番7号,住吉区,地蔵寺は承応3年（1654年）に僧承圓(しょうえん)が建立したという天台宗の寺院である。本尊の地蔵菩薩は、伝教大師作と伝えられ、地元では子安さんと親しまれている。平安時代の木造地蔵菩薩立像の優品で、大阪市指定有形文化財に指定されている。門前に百度石、門内に五大・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19486
135.4930306,34.61291928,宗教法人住吉大社,しゅうきょうほうじんすみよしたいしゃ,宗教法人住吉大社（しゅうきょうほうじんすみよしたいしゃ）,住吉区住吉2丁目9番89号,住吉区,登録年月日：平成15年4月11日　概要：草創は神功皇后の海外渡航時の安全祈願の故事に由来すると伝えられるが、現在の本殿4棟は、文化5年（1808年）造営されたもので、桧皮葺き・切妻造り妻入りの住吉造りと称され、市内唯一の国宝建造物である。境内には、慶長11年（1606年・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,13068
135.4983053,34.61169867,木下家住宅,きのしたけじゅうたく,木下家住宅（きのしたけじゅうたく）,住吉区上住吉1丁目8番28号,住吉区,　「住吉街道」沿いに建つ大壁造りの漆喰壁の町家建築で、二階部分に虫籠窓が見られる。虫籠窓は角材に荒縄を巻いて土で塗り込んだもの。虫籠窓にはさまざまな説があり、防火目的と心理的な効果が狙いといわれている。また、二階造りの表を美しくみせるために生み出されたと,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19476
135.4957438,34.61137556,熊野街道（ＨＯＰＥゾーン内）,くまのかいどう（ＨＯＰＥぞーんない）,熊野街道（ＨＯＰＥゾーン内）（くまのかいどう（ＨＯＰＥぞーんない））,住吉区住吉1丁目〜上住吉2丁目,住吉区,熊野街道は、和歌山県熊野本宮への参詣道で、平安時代から鎌倉時代にかけて「蟻の熊野詣」といわれる程、多くの人々の往来で賑わった。京都から淀川を舟で下り、八軒家(中央区天満橋京町)に上陸した人々は上町台地を縦断、途中所在する「熊野九十九王子」(住吉区では津守王・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19488
135.4965502,34.61214225,すみよし村ぎゃらりー,すみよしむらぎゃらりー,すみよし村ぎゃらりー（すみよしむらぎゃらりー）,住吉区住吉1丁目9番16号,住吉区,住吉の歴史が体感できる「すみよし村ぎゃらりー」は、住吉街道沿いの古い民家をリニューアルした建物。住吉にちなんだ住吉踊りの傘や昔の油屋の状況を展示している。明治初めの建築で大和棟町家。また、馬つなぎのある珍しい町家である。,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19489
135.4960119,34.61218956,池田家住宅,いけだけじゅうたく,池田家住宅（いけだけじゅうたく）,住吉区住吉1丁目9番22号,住吉区,住吉大社の東参道4つ辻角にあり、表の屋根には高灯籠が置かれている。白壁の虫篭窓、防火防炎のため土壁のように柱を壁で厚く覆っている。老舗味噌屋の池田屋本舗として、今でも昔ながらの製法を伝えている。屋根に設置された高灯籠、白壁の虫篭窓等外観だけでも歴史を感じ・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19490
135.4990518,34.61221767,荘厳浄土寺,しょうごんじょうどじ,荘厳浄土寺（しょうごんじょうどじ）,住吉区帝塚山東5丁目11番14号,住吉区,住吉の三大寺のひとつで、真言律宗の寺院。本尊は不動明王。創建は天慶年間の頃(930〜946年)と推定される。応得元年（1084年）白河天皇の勅願寺として再建され名を賜る。四天王寺と並ぶ壮麗な寺院だったが、戦火などにあって、現在に至る。現在の堂は天和2年(1682年) に再建,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19498
135.5096261,34.61162325,神須牟地神社,かみすむちじんじゃ,神須牟地神社（かみすむちじんじゃ）,住吉区長居西2丁目1番4号,住吉区,延喜式内の古社であって、遠く二千年昔の創建と伝えられる。祭神は神産霊大神・天日鷲命・少名彦命とされる。古来、酒造、医薬の祖神として信仰された。本社殿は、慶長年間、兵火にあったが、豊臣の浪人、多賀谷氏他４名の協力により、元和4年（1618年）再建された。元文元・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19499
135.5224493,34.60743186,保利神社,ほりじんじゃ,保利神社（ほりじんじゃ）,住吉区長居東１丁目14番17号,住吉区,神社創建の年代は不詳である。里伝によれば、足利時代に周防守（すおうのかみ）某なるものが本地に城を築いたとき、城の守護神として勧請されたといわれている。祭神は素盞嗚尊（すさのおのみこと）、大国主命（おおくにぬしのみこと）。境内に６基の力石がある。これは、力,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19500
135.5218423,34.61100294,長居植物園,ながいしょくぶつえん,長居植物園（ながいしょくぶつえん）,東住吉区長居公園内,東住吉区,詳細情報なし,文化・観光,美術館・博物館,文化・観光/美術館・博物館,150,3118
135.5223247,34.61026397,自然史博物館,しぜんしはくぶつかん,自然史博物館（しぜんしはくぶつかん）,東住吉区長居公園内,東住吉区,詳細情報なし,文化・観光,美術館・博物館,文化・観光/美術館・博物館,150,3113
135.4954311,34.61410144,上田家住宅,うえだけじゅうたく,上田家住宅（うえだけじゅうたく）,住吉区住吉1丁目5番20号,住吉区,明治43年（1910年）の建築、瓦葺き切妻屋根、出格子や駒寄せなどの伝統的な町屋の形態を持っている。HOPEゾーン事業のまちなみ修景補助制度により、改修された。昔の住吉らしいまちなみの面影が感じられる。,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19487
135.4938923,34.6155575,生根神社,いくねじんじゃ,生根神社（いくねじんじゃ）,住吉区住吉2丁目3番15号,住吉区,創立は不詳であるが延喜式神明帳（927年）に記載されている。桧皮葺・壱間社流（いっけんしゃながれ）造りの建物で、正面千鳥破風や扉の装飾などに、桃山時代の華麗な様式を残す。江戸時代は住吉大社の摂社であった。生根神社本殿は大阪府有形文化財に指定されている。,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19491
135.491768,34.61419017,阪堺電気軌道住吉交差点,はんかいでんききどうすみよしこうさてん,阪堺電気軌道住吉交差点（はんかいでんききどうすみよしこうさてん）,住吉区住吉2丁目9番,住吉区,阪堺電気軌道の上町線と阪堺線、2つの路線が道路上で交差する。阪堺電車は現在大阪市内を走る唯一の路面電車で、通称「ちん電」と呼ばれている。上町線の前身は明治33年（1900年）開業の軌道に乗った客車を馬が引く馬車鉄道だった。明治43年（1910年）には電化工事が完成し・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19492
135.4935211,34.61641767,閻魔地蔵尊,えんまじぞうそん,閻魔地蔵尊（えんまじぞうそん）,住吉区東粉浜3丁目5番11号,住吉区,地蔵が閻魔大王に化身したもので、難波の浜から背負って運んで来たが、この地で急に重くなり一歩も進めなくなったという。冥土の苦界六道の辻が、今では1本増えて七道の辻となっている。,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19502
135.496877,34.61368375,天王山東福寺,てんのうざんとうふくじ,天王山東福寺（てんのうざんとうふくじ）,住吉区住吉1丁目7番15号,住吉区,弘法大師が開祖した当時は熊野街道沿いに位置した。本尊の毘沙門天は、楠木正成の千早城における、念持仏といわれている。秘仏のため正月3日間にかぎっての御開帳が行われている。他にも、室町期の作の四天王が文化財として貴重である。,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19504
135.4984569,34.61833906,ＷＩＬＬ帝塚山,ＷＩＬＬてづかやま,ＷＩＬＬ帝塚山（ＷＩＬＬてづかやま）,住吉区帝塚山中4丁目10番14号,住吉区,第22回（2002年）大阪まちなみ賞（大阪都市景観建築賞） 奨励賞受賞。小さい限られた敷地の中で、外には近隣に開かれたギャラリーを角地に持ち、住人には中庭の古い立木を囲んだ共有空間を提供している。先代からの既存の土蔵や庭石を生かした試みは、ともすれば崩れゆく風・,文化・観光,都市景観資源,文化・観光/都市景観資源,167,19495
